Experiment,LOSO,mae,rmse,pearson,ccc
4_Attn_Forward,8,0.100604981,0.124529299,0.423270643,0.414133768
4_Attn_Forward,9,0.06577976,0.084695475,0.722204626,0.713668288
4_Attn_Forward,10,0.111005314,0.139078672,0.861644745,0.813227118
4_Attn_Forward,11,0.099985428,0.127221228,0.643426895,0.582299777
4_Attn_Forward,12,0.125675008,0.162376305,0.5008623,0.490781825
4_Attn_Forward,13,0.107946813,0.137917306,0.380670339,0.361032017
4_Attn_Forward,14,0.205141276,0.254307913,0.851436615,0.710340819
4_Attn_Forward,15,0.141988948,0.166532369,0.856934309,0.704320512
4_Attn_Forward,16,0.120064124,0.157531543,0.756083012,0.750344982
4_Attn_Forward,17,0.096509114,0.127256457,0.669814587,0.624082356
4_Attn_Forward,18,0.192968473,0.224600419,0.750608861,0.633005484
4_Attn_Forward,19,0.147107139,0.179248481,0.491111577,0.374341034
4_Attn_Forward,20,0.181693166,0.22279255,0.779143333,0.730232915
4_Attn_Forward,21,0.078266382,0.104338368,0.667703629,0.55828614
4_Attn_Forward,22,0.249822035,0.282173006,0.757651627,0.588272949
4_Attn_Forward,23,0.263780713,0.304367288,0.438868999,0.302704557
5_Attn_Reversed,Mean,0.134931819,0.170056153,0.692131123,0.614218217
5_Attn_Reversed,1,0.11574389,0.149006031,0.897870302,0.836539982
5_Attn_Reversed,2,0.10055352,0.137979991,0.568104744,0.503076457
5_Attn_Reversed,3,0.078560382,0.108900963,0.789740264,0.781409248
5_Attn_Reversed,4,0.124451891,0.16635561,0.613530278,0.60385233
5_Attn_Reversed,5,0.134356782,0.174431899,0.762326002,0.692672035
5_Attn_Reversed,6,0.138669416,0.175607686,0.846486807,0.829812393
5_Attn_Reversed,7,0.151852742,0.184242654,0.81110096,0.613779608
5_Attn_Reversed,8,0.091373362,0.115430709,0.509099782,0.46914145
5_Attn_Reversed,9,0.062877357,0.081169877,0.742020249,0.72660819
5_Attn_Reversed,10,0.116996013,0.154899278,0.887972295,0.831246351
5_Attn_Reversed,11,0.09976428,0.128388731,0.634989083,0.523497792
5_Attn_Reversed,12,0.150034413,0.188621604,0.468117774,0.403766535
5_Attn_Reversed,13,0.105813563,0.135954533,0.403720558,0.365636683
5_Attn_Reversed,14,0.193475649,0.247438993,0.852899492,0.732906187
5_Attn_Reversed,15,0.142798513,0.166544157,0.87318325,0.746491237
5_Attn_Reversed,16,0.123557173,0.153332357,0.745578945,0.731176352
5_Attn_Reversed,17,0.115994282,0.149415627,0.630756855,0.543314684
5_Attn_Reversed,18,0.18121703,0.229999485,0.702816427,0.658614293
5_Attn_Reversed,19,0.184264719,0.213109857,0.464449197,0.341503073
5_Attn_Reversed,20,0.172853947,0.205796337,0.82207948,0.766157283
5_Attn_Reversed,21,0.086843215,0.112555365,0.64513737,0.500120196
5_Attn_Reversed,22,0.17480129,0.234182088,0.816622078,0.667151879
5_Attn_Reversed,23,0.256578416,0.297927697,0.430413634,0.258544751
6_Attn_Reversed_Gate,Mean,0.137035849,0.17123107,0.672042719,0.591282701
6_Attn_Reversed_Gate,1,0.108849496,0.138969813,0.896221161,0.854960297
6_Attn_Reversed_Gate,2,0.110818058,0.145797071,0.516089201,0.387622167
6_Attn_Reversed_Gate,3,0.0789937,0.108469261,0.773742557,0.711336101
6_Attn_Reversed_Gate,4,0.12144728,0.163020778,0.664625525,0.662934352
6_Attn_Reversed_Gate,5,0.146707222,0.186252637,0.746013045,0.63780061
6_Attn_Reversed_Gate,6,0.134983331,0.176051478,0.847393394,0.836803084
6_Attn_Reversed_Gate,7,0.145205706,0.176672841,0.827336669,0.653345773
6_Attn_Reversed_Gate,8,0.098989204,0.123139112,0.348259181,0.309970895
6_Attn_Reversed_Gate,9,0.066268161,0.084815408,0.765141129,0.715038394
6_Attn_Reversed_Gate,10,0.106589779,0.141320423,0.835548937,0.809391544
6_Attn_Reversed_Gate,11,0.09991426,0.128874544,0.591093183,0.493335488
6_Attn_Reversed_Gate,12,0.114323616,0.143428416,0.532585025,0.516713981
6_Attn_Reversed_Gate,13,0.107074007,0.137460989,0.21771057,0.18986097
6_Attn_Reversed_Gate,14,0.217073664,0.279278828,0.778564692,0.652220807
6_Attn_Reversed_Gate,15,0.149571791,0.184294095,0.81029892,0.675501341
6_Attn_Reversed_Gate,16,0.120622121,0.154398251,0.741507232,0.727621564
6_Attn_Reversed_Gate,17,0.101276092,0.136349254,0.613930464,0.575261564
6_Attn_Reversed_Gate,18,0.24622035,0.275510072,0.693696439,0.454787641
6_Attn_Reversed_Gate,19,0.149731204,0.184355737,0.477916956,0.407886885
6_Attn_Reversed_Gate,20,0.219921663,0.262931788,0.798036337,0.606811455
6_Attn_Reversed_Gate,21,0.077521995,0.098693914,0.615766704,0.597923034
6_Attn_Reversed_Gate,22,0.193208545,0.22739124,0.837145984,0.731530654
6_Attn_Reversed_Gate,23,0.236513272,0.280838666,0.528359234,0.390843522
